N,mean_m,T,interaction_type
49,0.22566326530612246,19.597989949748744,ferro
100,0.985375,19.597989949748744,ferro
25,0.022099999999999998,20.100502512562812,ferro
49,0.1588265306122449,20.100502512562812,ferro
100,0.983225,20.100502512562812,ferro
25,0.012900000000000002,20.60301507537688,ferro
49,0.24107142857142855,20.60301507537688,ferro
100,0.9804,20.60301507537688,ferro
25,0.015200000000000002,21.105527638190953,ferro
49,0.0764795918367347,21.105527638190953,ferro
100,0.9782250000000001,21.105527638190953,ferro
25,0.011299999999999998,21.608040201005025,ferro
49,0.06566326530612245,21.608040201005025,ferro
100,0.9756250000000001,21.608040201005025,ferro
25,0.0102,22.110552763819094,ferro
49,0.07244897959183674,22.110552763819094,ferro
100,0.9726,22.110552763819094,ferro
25,0.0115,22.613065326633162,ferro
49,0.08086734693877551,22.613065326633162,ferro
100,0.970175,22.613065326633162,ferro
25,0.0207,23.115577889447234,ferro
49,0.03887755102040816,23.115577889447234,ferro
100,0.9658250000000002,23.115577889447234,ferro
25,0.011899999999999997,23.618090452261306,ferro
49,0.052397959183673466,23.618090452261306,ferro
100,0.962725,23.618090452261306,ferro
25,0.011800000000000001,24.120603015075375,ferro
49,0.029030612244897964,24.120603015075375,ferro
100,0.9591750000000001,24.120603015075375,ferro
25,0.015899999999999997,24.623115577889443,ferro
49,0.025918367346938774,24.623115577889443,ferro
100,0.9549999999999998,24.623115577889443,ferro
25,0.012800000000000002,25.125628140703515,ferro
49,0.046377551020408164,25.125628140703515,ferro
100,0.951875,25.125628140703515,ferro
25,0.0114,25.628140703517587,ferro
49,0.04071428571428571,25.628140703517587,ferro
100,0.9493750000000001,25.628140703517587,ferro
25,0.020700000000000003,26.130653266331656,ferro
49,0.04020408163265306,26.130653266331656,ferro
100,0.944,26.130653266331656,ferro
25,0.017800000000000003,26.633165829145725,ferro
49,0.03642857142857143,26.633165829145725,ferro
100,0.937775,26.633165829145725,ferro
25,0.012299999999999998,27.135678391959797,ferro
49,0.014336734693877556,27.135678391959797,ferro
100,0.9326000000000001,27.135678391959797,ferro
25,0.011,27.63819095477387,ferro
49,0.025204081632653065,27.63819095477387,ferro
100,0.9263250000000001,27.63819095477387,ferro
25,0.015600000000000003,28.140703517587937,ferro
49,0.02760204081632653,28.140703517587937,ferro
100,0.9212750000000001,28.140703517587937,ferro
25,0.009600000000000001,28.643216080402006,ferro
49,0.017295918367346938,28.643216080402006,ferro
100,0.9129,28.643216080402006,ferro
25,0.0179,29.145728643216078,ferro
49,0.012244897959183675,29.145728643216078,ferro
100,0.9087000000000001,29.145728643216078,ferro
25,0.014000000000000002,29.64824120603015,ferro
49,0.010204081632653064,29.64824120603015,ferro
100,0.9024750000000001,29.64824120603015,ferro
25,0.017100000000000004,30.15075376884422,ferro
49,0.027091836734693876,30.15075376884422,ferro
100,0.89705,30.15075376884422,ferro
25,0.007600000000000002,30.653266331658287,ferro
49,0.031938775510204076,30.653266331658287,ferro
100,0.885175,30.653266331658287,ferro
25,0.012300000000000002,31.15577889447236,ferro
49,0.012806122448979593,31.15577889447236,ferro
100,0.8815999999999999,31.15577889447236,ferro
25,0.009099999999999997,31.65829145728643,ferro
49,0.02102040816326531,31.65829145728643,ferro
100,0.87215,31.65829145728643,ferro
25,0.007700000000000001,32.1608040201005,ferro
49,0.013214285714285713,32.1608040201005,ferro
100,0.8609249999999999,32.1608040201005,ferro
25,0.0085,32.66331658291457,ferro
49,0.017653061224489792,32.66331658291457,ferro
100,0.85575,32.66331658291457,ferro
25,0.0131,33.16582914572864,ferro
49,0.01872448979591837,33.16582914572864,ferro
100,0.84565,33.16582914572864,ferro
25,0.008900000000000002,33.66834170854271,ferro
49,0.0054591836734693856,33.66834170854271,ferro
100,0.834925,33.66834170854271,ferro
25,0.006599999999999999,34.17085427135678,ferro
49,0.014744897959183673,34.17085427135678,ferro
100,0.8187500000000001,34.17085427135678,ferro
25,0.0125,34.67336683417085,ferro
49,0.02275510204081633,34.67336683417085,ferro
100,0.8134999999999999,34.67336683417085,ferro
25,0.011300000000000001,35.175879396984925,ferro
49,0.00923469387755102,35.175879396984925,ferro
100,0.8105,35.175879396984925,ferro
25,0.0109,35.678391959798994,ferro
49,0.012959183673469387,35.678391959798994,ferro
100,0.791225,35.678391959798994,ferro
25,0.014000000000000004,36.18090452261306,ferro
49,0.010561224489795917,36.18090452261306,ferro
100,0.78135,36.18090452261306,ferro
25,0.008699999999999998,36.68341708542713,ferro
49,0.01780612244897959,36.68341708542713,ferro
100,0.768225,36.68341708542713,ferro
25,0.0049,37.1859296482412,ferro
49,0.01612244897959184,37.1859296482412,ferro
100,0.7522249999999999,37.1859296482412,ferro
25,0.0101,37.688442211055275,ferro
49,0.013112244897959185,37.688442211055275,ferro
100,0.731575,37.688442211055275,ferro
25,0.010000000000000002,38.19095477386934,ferro
49,0.015357142857142856,38.19095477386934,ferro
100,0.724275,38.19095477386934,ferro
25,0.0073999999999999995,38.69346733668341,ferro
49,0.010918367346938775,38.69346733668341,ferro
100,0.7023999999999999,38.69346733668341,ferro
25,0.0138,39.19597989949749,ferro
49,0.016785714285714286,39.19597989949749,ferro
100,0.6778249999999999,39.19597989949749,ferro
25,0.01,39.698492462311556,ferro
49,0.018979591836734692,39.698492462311556,ferro
100,0.672,39.698492462311556,ferro
25,0.0115,40.201005025125625,ferro
49,0.013724489795918365,40.201005025125625,ferro
100,0.5910500000000001,40.201005025125625,ferro
25,0.010300000000000004,40.70351758793969,ferro
49,0.010510204081632654,40.70351758793969,ferro
100,0.426025,40.70351758793969,ferro
25,0.010499999999999999,41.20603015075376,ferro
49,0.015306122448979591,41.20603015075376,ferro
100,0.40722500000000006,41.20603015075376,ferro
25,0.0041,41.70854271356784,ferro
49,0.010153061224489794,41.70854271356784,ferro
100,0.3279,41.70854271356784,ferro
25,0.0119,42.211055276381906,ferro
49,0.0069897959183673475,42.211055276381906,ferro
100,0.214125,42.211055276381906,ferro
25,0.011800000000000001,42.713567839195974,ferro
49,0.012806122448979593,42.713567839195974,ferro
100,0.1309,42.713567839195974,ferro
25,0.006100000000000001,43.21608040201005,ferro
49,0.00693877551020408,43.21608040201005,ferro
100,0.411675,43.21608040201005,ferro
25,0.0095,43.71859296482412,ferro
49,0.012551020408163263,43.71859296482412,ferro
100,0.188125,43.71859296482412,ferro
25,0.007600000000000001,44.22110552763819,ferro
49,0.016632653061224488,44.22110552763819,ferro
100,0.26215,44.22110552763819,ferro
25,0.005,44.723618090452256,ferro
49,0.006428571428571429,44.723618090452256,ferro
100,0.05550000000000002,44.723618090452256,ferro
25,0.009199999999999998,45.226130653266324,ferro
49,0.006887755102040815,45.226130653266324,ferro
100,0.11572500000000001,45.226130653266324,ferro
25,0.0092,45.7286432160804,ferro
49,0.014846938775510205,45.7286432160804,ferro
100,0.13535,45.7286432160804,ferro
25,0.0097,46.23115577889447,ferro
49,0.011224489795918367,46.23115577889447,ferro
100,0.07677500000000001,46.23115577889447,ferro
25,0.0077,46.73366834170854,ferro
49,0.007653061224489797,46.73366834170854,ferro
100,0.127125,46.73366834170854,ferro
25,0.0082,47.23618090452261,ferro
49,0.01183673469387755,47.23618090452261,ferro
100,0.11085000000000002,47.23618090452261,ferro
25,0.0082,47.73869346733668,ferro
49,0.005102040816326531,47.73869346733668,ferro
100,0.060024999999999995,47.73869346733668,ferro
25,0.0063999999999999994,48.24120603015075,ferro
49,0.010357142857142856,48.24120603015075,ferro
100,0.078875,48.24120603015075,ferro
25,0.005899999999999999,48.74371859296482,ferro
49,0.00959183673469388,48.74371859296482,ferro
100,0.0388,48.74371859296482,ferro
25,0.007599999999999999,49.24623115577889,ferro
49,0.0066836734693877554,49.24623115577889,ferro
100,0.12645,49.24623115577889,ferro
25,0.0091,49.74874371859296,ferro
49,0.010459183673469388,49.74874371859296,ferro
100,0.065175,49.74874371859296,ferro
25,0.008100000000000003,50.25125628140703,ferro
49,0.004540816326530615,50.25125628140703,ferro
100,0.060825000000000004,50.25125628140703,ferro
25,0.013000000000000001,50.7537688442211,ferro
49,0.009387755102040816,50.7537688442211,ferro
100,0.062275,50.7537688442211,ferro
25,0.004399999999999999,51.256281407035175,ferro
49,0.003979591836734693,51.256281407035175,ferro
100,0.024099999999999996,51.256281407035175,ferro
25,0.011600000000000001,51.75879396984924,ferro
49,0.009132653061224492,51.75879396984924,ferro
100,0.0609,51.75879396984924,ferro
25,0.0059000000000000025,52.26130653266331,ferro
49,0.006938775510204081,52.26130653266331,ferro
100,0.029899999999999993,52.26130653266331,ferro
25,0.009300000000000001,52.76381909547738,ferro
49,0.008775510204081637,52.76381909547738,ferro
100,0.019925000000000002,52.76381909547738,ferro
25,0.0085,53.26633165829145,ferro
49,0.005510204081632652,53.26633165829145,ferro
100,0.04984999999999999,53.26633165829145,ferro
25,0.007899999999999997,53.768844221105525,ferro
49,0.011785714285714285,53.768844221105525,ferro
100,0.021375,53.768844221105525,ferro
25,0.009099999999999997,54.27135678391959,ferro
49,0.014948979591836734,54.27135678391959,ferro
100,0.039975,54.27135678391959,ferro
25,0.0075000000000000015,54.77386934673366,ferro
49,0.00693877551020408,54.77386934673366,ferro
100,0.049550000000000004,54.77386934673366,ferro
25,0.007999999999999998,55.27638190954774,ferro
49,0.007857142857142858,55.27638190954774,ferro
100,0.035925000000000006,55.27638190954774,ferro
25,0.008799999999999999,55.778894472361806,ferro
49,0.0073469387755102054,55.778894472361806,ferro
100,0.03427500000000001,55.778894472361806,ferro
25,0.0112,56.281407035175874,ferro
49,0.010153061224489796,56.281407035175874,ferro
100,0.033350000000000005,56.281407035175874,ferro
25,0.008400000000000001,56.78391959798994,ferro
49,0.011377551020408161,56.78391959798994,ferro
100,0.028725,56.78391959798994,ferro
25,0.0034999999999999988,57.28643216080401,ferro
49,0.007295918367346938,57.28643216080401,ferro
100,0.015625000000000003,57.28643216080401,ferro
25,0.0115,57.78894472361809,ferro
49,0.003979591836734693,57.78894472361809,ferro
100,0.03142500000000001,57.78894472361809,ferro
25,0.0072,58.291457286432156,ferro
49,0.010561224489795917,58.291457286432156,ferro
100,0.022724999999999995,58.291457286432156,ferro
25,0.010100000000000003,58.793969849246224,ferro
49,0.00903061224489796,58.793969849246224,ferro
100,0.024500000000000008,58.793969849246224,ferro
25,0.008100000000000001,59.2964824120603,ferro
49,0.009846938775510204,59.2964824120603,ferro
100,0.016,59.2964824120603,ferro
25,0.010500000000000002,59.79899497487437,ferro
49,0.014030612244897957,59.79899497487437,ferro
100,0.025100000000000004,59.79899497487437,ferro
25,0.007,60.30150753768844,ferro
49,0.008214285714285714,60.30150753768844,ferro
100,0.021875000000000002,60.30150753768844,ferro
25,0.009399999999999999,60.804020100502505,ferro
49,0.011020408163265306,60.804020100502505,ferro
100,0.028225,60.804020100502505,ferro
25,0.0055,61.306532663316574,ferro
49,0.014030612244897957,61.306532663316574,ferro
100,0.031525,61.306532663316574,ferro
25,0.014000000000000002,61.80904522613065,ferro
49,0.006734693877551021,61.80904522613065,ferro
100,0.014375000000000002,61.80904522613065,ferro
25,0.0106,62.31155778894472,ferro
49,0.008673469387755102,62.31155778894472,ferro
100,0.02490000000000001,62.31155778894472,ferro
25,0.0085,62.81407035175879,ferro
49,0.009744897959183672,62.81407035175879,ferro
100,0.02085,62.81407035175879,ferro
25,0.0139,63.31658291457286,ferro
49,0.007551020408163264,63.31658291457286,ferro
100,0.009825,63.31658291457286,ferro
25,0.007800000000000001,63.81909547738693,ferro
49,0.01173469387755102,63.81909547738693,ferro
100,0.030850000000000002,63.81909547738693,ferro
25,0.010700000000000001,64.321608040201,ferro
49,0.0086734693877551,64.321608040201,ferro
100,0.010675000000000006,64.321608040201,ferro
25,0.0040999999999999995,64.82412060301507,ferro
49,0.011428571428571429,64.82412060301507,ferro
100,0.014674999999999999,64.82412060301507,ferro
25,0.009400000000000002,65.32663316582914,ferro
49,0.01474489795918367,65.32663316582914,ferro
100,0.009950000000000004,65.32663316582914,ferro
25,0.002600000000000001,65.82914572864321,ferro
49,0.009540816326530612,65.82914572864321,ferro
100,0.018549999999999997,65.82914572864321,ferro
25,0.006699999999999998,66.33165829145727,ferro
49,0.015918367346938776,66.33165829145727,ferro
100,0.0232,66.33165829145727,ferro
25,0.008799999999999997,66.83417085427135,ferro
49,0.010357142857142856,66.83417085427135,ferro
100,0.0254,66.83417085427135,ferro
25,0.0088,67.33668341708542,ferro
49,0.0036734693877550997,67.33668341708542,ferro
100,0.024675,67.33668341708542,ferro
25,0.003999999999999999,67.83919597989949,ferro
49,0.012346938775510205,67.83919597989949,ferro
100,0.0207,67.83919597989949,ferro
25,0.005000000000000001,68.34170854271356,ferro
49,0.0125,68.34170854271356,ferro
100,0.021725,68.34170854271356,ferro
25,0.0051,68.84422110552764,ferro
49,0.004642857142857143,68.84422110552764,ferro
100,0.029575,68.84422110552764,ferro
25,0.009600000000000003,69.3467336683417,ferro
49,0.00760204081632653,69.3467336683417,ferro
100,0.012550000000000002,69.3467336683417,ferro
25,0.005000000000000001,69.84924623115577,ferro
49,0.012448979591836733,69.84924623115577,ferro
100,0.016775,69.84924623115577,ferro
25,0.009600000000000001,70.35175879396985,ferro
49,0.0066836734693877554,70.35175879396985,ferro
100,0.010775,70.35175879396985,ferro
25,0.011,70.85427135678391,ferro
49,0.012755102040816327,70.85427135678391,ferro
100,0.019450000000000002,70.85427135678391,ferro
25,0.0057,71.35678391959799,ferro
49,0.008979591836734694,71.35678391959799,ferro
100,0.013125000000000001,71.35678391959799,ferro
25,0.008100000000000001,71.85929648241205,ferro
49,0.01122448979591837,71.85929648241205,ferro
100,0.012225000000000003,71.85929648241205,ferro
25,0.016600000000000004,72.36180904522612,ferro
49,0.01010204081632653,72.36180904522612,ferro
100,0.01525,72.36180904522612,ferro
25,0.008799999999999999,72.8643216080402,ferro
49,0.011887755102040813,72.8643216080402,ferro
100,0.011574999999999998,72.8643216080402,ferro
25,0.0073,73.36683417085426,ferro
49,0.0032653061224489806,73.36683417085426,ferro
100,0.016125000000000004,73.36683417085426,ferro
25,0.009999999999999998,73.86934673366834,ferro
49,0.007908163265306122,73.86934673366834,ferro
100,0.011200000000000002,73.86934673366834,ferro
25,0.008,74.3718592964824,ferro
49,0.008520408163265306,74.3718592964824,ferro
100,0.015125,74.3718592964824,ferro
25,0.0104,74.87437185929647,ferro
49,0.005306122448979592,74.87437185929647,ferro
100,0.0159,74.87437185929647,ferro
25,0.007700000000000001,75.37688442211055,ferro
49,0.007755102040816328,75.37688442211055,ferro
100,0.0135,75.37688442211055,ferro
25,0.008600000000000002,75.87939698492461,ferro
49,0.008010204081632652,75.87939698492461,ferro
100,0.017825,75.87939698492461,ferro
25,0.0125,76.38190954773869,ferro
49,0.007397959183673468,76.38190954773869,ferro
100,0.009624999999999998,76.38190954773869,ferro
25,0.004600000000000002,76.88442211055276,ferro
49,0.003979591836734694,76.88442211055276,ferro
100,0.013474999999999999,76.88442211055276,ferro
25,0.007100000000000002,77.38693467336682,ferro
49,0.00979591836734694,77.38693467336682,ferro
100,0.006475000000000002,77.38693467336682,ferro
25,0.0052000000000000015,77.8894472361809,ferro
49,0.006173469387755103,77.8894472361809,ferro
100,0.017775,77.8894472361809,ferro
25,0.0058,78.39195979899498,ferro
49,0.004183673469387757,78.39195979899498,ferro
100,0.010975000000000002,78.39195979899498,ferro
25,0.0082,78.89447236180904,ferro
49,0.010459183673469388,78.89447236180904,ferro
100,0.013875,78.89447236180904,ferro
25,0.012800000000000002,79.39698492462311,ferro
49,0.007551020408163264,79.39698492462311,ferro
100,0.0086,79.39698492462311,ferro
25,0.006299999999999999,79.89949748743717,ferro
49,0.010816326530612244,79.89949748743717,ferro
100,0.014599999999999998,79.89949748743717,ferro
25,0.006000000000000004,80.40201005025125,ferro
49,0.0038265306122448974,80.40201005025125,ferro
100,0.014875000000000003,80.40201005025125,ferro
25,0.012200000000000003,80.90452261306532,ferro
49,0.011887755102040817,80.90452261306532,ferro
100,0.00605,80.90452261306532,ferro
25,0.010499999999999999,81.40703517587939,ferro
49,0.011530612244897959,81.40703517587939,ferro
100,0.0081,81.40703517587939,ferro
25,0.004400000000000001,81.90954773869346,ferro
49,0.0063265306122448975,81.90954773869346,ferro
100,0.009425,81.90954773869346,ferro
25,0.0071,82.41206030150752,ferro
49,0.005867346938775512,82.41206030150752,ferro
100,0.0115,82.41206030150752,ferro
25,0.004000000000000001,82.9145728643216,ferro
49,0.009234693877551022,82.9145728643216,ferro
100,0.019749999999999997,82.9145728643216,ferro
25,0.010500000000000002,83.41708542713567,ferro
49,0.012653061224489795,83.41708542713567,ferro
100,0.008650000000000001,83.41708542713567,ferro
25,0.0107,83.91959798994974,ferro
49,0.004897959183673469,83.91959798994974,ferro
100,0.023925000000000002,83.91959798994974,ferro
25,0.0058,84.42211055276381,ferro
49,0.010612244897959186,84.42211055276381,ferro
100,0.007499999999999999,84.42211055276381,ferro
25,0.008,84.92462311557789,ferro
49,0.008418367346938776,84.92462311557789,ferro
100,0.012750000000000001,84.92462311557789,ferro
25,0.009300000000000001,85.42713567839195,ferro
49,0.003928571428571429,85.42713567839195,ferro
100,0.013000000000000001,85.42713567839195,ferro
25,0.0052,85.92964824120602,ferro
49,0.006734693877551021,85.92964824120602,ferro
100,0.012975000000000002,85.92964824120602,ferro
25,0.0061,86.4321608040201,ferro
49,0.003214285714285714,86.4321608040201,ferro
100,0.007675,86.4321608040201,ferro
25,0.0059000000000000025,86.93467336683416,ferro
49,0.0111734693877551,86.93467336683416,ferro
100,0.00855,86.93467336683416,ferro
25,0.007300000000000003,87.43718592964824,ferro
49,0.005867346938775511,87.43718592964824,ferro
100,0.0139,87.43718592964824,ferro
