L,mean_m,T,interaction_type
7,0.02056122448979592,1.97979797979798,ferro
10,0.014849999999999999,1.97979797979798,ferro
5,0.1559,2.0202020202020203,ferro
7,0.01903061224489796,2.0202020202020203,ferro
10,0.01875,2.0202020202020203,ferro
5,0.15660000000000002,2.060606060606061,ferro
7,0.030306122448979587,2.060606060606061,ferro
10,0.027975,2.060606060606061,ferro
5,0.14440000000000003,2.101010101010101,ferro
7,0.016785714285714286,2.101010101010101,ferro
10,0.024775,2.101010101010101,ferro
5,0.1538,2.1414141414141414,ferro
7,0.010765306122448979,2.1414141414141414,ferro
10,0.031575000000000006,2.1414141414141414,ferro
5,0.1272,2.181818181818182,ferro
7,0.017346938775510204,2.181818181818182,ferro
10,0.015125,2.181818181818182,ferro
5,0.1492,2.2222222222222223,ferro
7,0.015816326530612244,2.2222222222222223,ferro
10,0.019525,2.2222222222222223,ferro
5,0.1162,2.262626262626263,ferro
7,0.019897959183673472,2.262626262626263,ferro
10,0.0167,2.262626262626263,ferro
5,0.1225,2.303030303030303,ferro
7,0.009897959183673468,2.303030303030303,ferro
10,0.01735,2.303030303030303,ferro
5,0.12730000000000002,2.3434343434343434,ferro
7,0.021275510204081628,2.3434343434343434,ferro
10,0.029375000000000005,2.3434343434343434,ferro
5,0.1174,2.383838383838384,ferro
7,0.012448979591836735,2.383838383838384,ferro
10,0.009675,2.383838383838384,ferro
5,0.0988,2.4242424242424243,ferro
7,0.021071428571428567,2.4242424242424243,ferro
10,0.009125000000000001,2.4242424242424243,ferro
5,0.1089,2.464646464646465,ferro
7,0.014591836734693876,2.464646464646465,ferro
10,0.007350000000000001,2.464646464646465,ferro
5,0.09659999999999999,2.505050505050505,ferro
7,0.014540816326530615,2.505050505050505,ferro
10,0.008549999999999999,2.505050505050505,ferro
5,0.1063,2.545454545454546,ferro
7,0.00836734693877551,2.545454545454546,ferro
10,0.02095,2.545454545454546,ferro
5,0.1053,2.585858585858586,ferro
7,0.01908163265306122,2.585858585858586,ferro
10,0.00765,2.585858585858586,ferro
5,0.095,2.6262626262626263,ferro
7,0.013571428571428571,2.6262626262626263,ferro
10,0.02105,2.6262626262626263,ferro
5,0.09079999999999999,2.666666666666667,ferro
7,0.010816326530612246,2.666666666666667,ferro
10,0.009724999999999998,2.666666666666667,ferro
5,0.08880000000000002,2.707070707070707,ferro
7,0.018877551020408168,2.707070707070707,ferro
10,0.014350000000000002,2.707070707070707,ferro
5,0.09130000000000002,2.747474747474748,ferro
7,0.007857142857142856,2.747474747474748,ferro
10,0.016999999999999998,2.747474747474748,ferro
5,0.0931,2.787878787878788,ferro
7,0.009285714285714286,2.787878787878788,ferro
10,0.0105,2.787878787878788,ferro
5,0.0791,2.8282828282828287,ferro
7,0.010255102040816326,2.8282828282828287,ferro
10,0.012625000000000004,2.8282828282828287,ferro
5,0.09000000000000001,2.868686868686869,ferro
7,0.00923469387755102,2.868686868686869,ferro
10,0.012875000000000001,2.868686868686869,ferro
5,0.0795,2.909090909090909,ferro
7,0.013418367346938775,2.909090909090909,ferro
10,0.010325000000000003,2.909090909090909,ferro
5,0.0764,2.94949494949495,ferro
7,0.016224489795918368,2.94949494949495,ferro
10,0.0108,2.94949494949495,ferro
5,0.07780000000000001,2.98989898989899,ferro
7,0.009642857142857146,2.98989898989899,ferro
10,0.006725,2.98989898989899,ferro
5,0.0867,3.0303030303030307,ferro
7,0.006224489795918367,3.0303030303030307,ferro
10,0.013125,3.0303030303030307,ferro
5,0.0687,3.070707070707071,ferro
7,0.011836734693877552,3.070707070707071,ferro
10,0.015125,3.070707070707071,ferro
5,0.0701,3.111111111111111,ferro
