p,mean_m,T,interaction_type
0.6,0.00295,1.5151515151515151,antiferro
0.9,0.0007499999999999998,1.5151515151515151,antiferro
0.3,0.02205,1.6161616161616161,antiferro
0.6,0.0051,1.6161616161616161,antiferro
0.9,0.004700000000000001,1.6161616161616161,antiferro
0.3,0.017200000000000003,1.7171717171717171,antiferro
0.6,0.004200000000000001,1.7171717171717171,antiferro
0.9,0.0032499999999999994,1.7171717171717171,antiferro
0.3,0.01875,1.8181818181818181,antiferro
0.6,0.00565,1.8181818181818181,antiferro
0.9,0.0024999999999999996,1.8181818181818181,antiferro
0.3,0.01905,1.9191919191919191,antiferro
0.6,0.0063,1.9191919191919191,antiferro
0.9,0.0028000000000000004,1.9191919191919191,antiferro
0.3,0.0195,2.0202020202020203,antiferro
0.6,0.00635,2.0202020202020203,antiferro
0.9,0.0026999999999999997,2.0202020202020203,antiferro
0.3,0.01455,2.121212121212121,antiferro
0.6,0.00505,2.121212121212121,antiferro
0.9,0.00165,2.121212121212121,antiferro
0.3,0.013500000000000002,2.2222222222222223,antiferro
0.6,0.0051,2.2222222222222223,antiferro
0.9,0.0005499999999999999,2.2222222222222223,antiferro
0.3,0.013349999999999999,2.323232323232323,antiferro
0.6,0.009200000000000002,2.323232323232323,antiferro
0.9,0.00365,2.323232323232323,antiferro
0.3,0.0151,2.4242424242424243,antiferro
0.6,0.008799999999999999,2.4242424242424243,antiferro
0.9,0.0017999999999999993,2.4242424242424243,antiferro
0.3,0.008900000000000002,2.525252525252525,antiferro
0.6,0.0063999999999999994,2.525252525252525,antiferro
0.9,0.0017500000000000003,2.525252525252525,antiferro
0.3,0.0149,2.6262626262626263,antiferro
0.6,0.00785,2.6262626262626263,antiferro
0.9,0.0003,2.6262626262626263,antiferro
0.3,0.0074,2.727272727272727,antiferro
0.6,0.00985,2.727272727272727,antiferro
0.9,0.0009,2.727272727272727,antiferro
0.3,0.009649999999999999,2.8282828282828283,antiferro
0.6,0.00705,2.8282828282828283,antiferro
0.9,0.001,2.8282828282828283,antiferro
0.3,0.0088,2.929292929292929,antiferro
0.6,0.010150000000000001,2.929292929292929,antiferro
0.9,0.0037,2.929292929292929,antiferro
0.3,0.010250000000000002,3.0303030303030303,antiferro
0.6,0.008400000000000001,3.0303030303030303,antiferro
0.9,0.0013000000000000004,3.0303030303030303,antiferro
0.3,0.0088,3.131313131313131,antiferro
0.6,0.008400000000000001,3.131313131313131,antiferro
0.9,0.0019500000000000003,3.131313131313131,antiferro
0.3,0.010699999999999998,3.2323232323232323,antiferro
0.6,0.0067,3.2323232323232323,antiferro
0.9,0.0022500000000000003,3.2323232323232323,antiferro
0.3,0.0070999999999999995,3.3333333333333335,antiferro
0.6,0.0074,3.3333333333333335,antiferro
0.9,0.0011000000000000003,3.3333333333333335,antiferro
0.3,0.009399999999999999,3.4343434343434343,antiferro
0.6,0.007850000000000001,3.4343434343434343,antiferro
0.9,0.0029000000000000002,3.4343434343434343,antiferro
